team,gls_messi,gls_suarez,gls_neymar
Barcelona,0,0,1
Barcelona,0,0,0
Barcelona,2,0,0
Barcelona,0,0,1
Barcelona,3,0,1
Barcelona,0,0,0
Barcelona,3,0,0
Barcelona,1,1,1
Barcelona,0,0,0
Barcelona,1,1,2
Barcelona,1,1,1
Barcelona,3,0,0
Barcelona,1,0,0
Barcelona,0,0,2
Barcelona,1,0,1
Barcelona,1,1,1
Barcelona,1,0,0
Barcelona,3,1,1
Barcelona,0,0,0
Barcelona,0,2,0
Barcelona,1,1,0
Barcelona,0,1,2
Barcelona,2,0,0
Barcelona,0,0,0
Barcelona,0,1,0
Barcelona,0,0,0
Barcelona,1,0,1
Barcelona,0,2,1
Barcelona,1,1,0
Barcelona,0,0,2
Barcelona,1,0,1
Barcelona,2,2,1
Barcelona,2,3,1
Barcelona,2,0,1
Barcelona,0,0,1
Barcelona,0,0,2
Barcelona,2,0,1
Barcelona,0,1,1
Barcelona,0,0,0
Barcelona,1,0,1
Barcelona,0,1,0
Barcelona,0,0,1
Barcelona,0,2,0
Barcelona,0,2,1
Barcelona,2,2,0
Barcelona,1,1,2
Barcelona,0,1,0
Barcelona,1,2,0
Barcelona,0,0,0
Barcelona,2,0,1
Barcelona,3,0,1
Barcelona,1,3,1
Barcelona,0,1,1
Barcelona,1,1,0
Barcelona,3,4,0
Barcelona,0,1,0
Barcelona,1,3,1
Barcelona,2,1,0
Barcelona,0,1,1
Barcelona,2,0,0
Barcelona,1,0,0
Barcelona,3,0,0
Barcelona,1,1,1
Barcelona,0,0,1
Barcelona,0,0,0
Barcelona,0,2,0
Barcelona,0,0,0
Barcelona,1,0,0
Barcelona,1,4,1
Barcelona,1,4,1
Barcelona,0,1,0
Barcelona,1,2,1
Barcelona,0,3,0
Barcelona,0,0,1
Barcelona,1,0,1
Barcelona,0,0,0
Barcelona,3,2,1
Barcelona,2,1,1
Barcelona,0,0,0
Barcelona,1,1,0
Barcelona,3,0,1
Barcelona,2,1,0
Barcelona,0,0,0
Barcelona,1,0,0
Barcelona,1,1,0
Barcelona,0,0,1
Barcelona,1,0,0
Barcelona,2,0,0
Barcelona,1,0,0
Barcelona,0,1,0
Barcelona,1,2,0
Barcelona,1,0,0
Barcelona,1,0,0
Barcelona,1,1,1
Barcelona,0,0,1
Barcelona,1,1,1
Barcelona,1,1,0
Barcelona,0,1,0
Barcelona,1,1,0
Barcelona,1,2,1
Barcelona,0,0,0
Barcelona,2,0,0
Barcelona,1,0,0
Barcelona,1,1,1
Barcelona,2,0,1
Barcelona,1,1,2
Barcelona,2,1,0
Barcelona,2,1,0
Barcelona,0,0,0
Barcelona,0,0,0
Barcelona,0,0,0
Barcelona,0,2,0
Barcelona,2,1,1
Barcelona,0,1,3
Barcelona,2,1,0
